text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"txl'""","Masekhet: 71016, Page: 002, Side: 2, Line: 06, Word: 1",No data,,,,,,,,,,,,,תחל',None,No data,
bry$);,"Masekhet: 71016, Page: 002, Side: 2, Line: 06, Word: 2",a,,,,,"bryš, bryšˀ",,,,"at the head, first",,,,ברישא;,bry$),adverb,"at the head, first"
"""ydyM","Masekhet: 71016, Page: 002, Side: 2, Line: 09, Word: 0",No data,,,,,,,,,,,,,ידים,None,No data,
$)yN,"Masekhet: 71016, Page: 002, Side: 2, Line: 09, Word: 1",No data,,,,,,,,,,,,,שאין,None,No data,
"mwkyxw'""","Masekhet: 71016, Page: 002, Side: 2, Line: 09, Word: 2",No data,,,,,,,,,,,,,מוכיחו',None,No data,
l),"Masekhet: 71016, Page: 002, Side: 2, Line: 09, Word: 3",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
hwyyN,"Masekhet: 71016, Page: 002, Side: 2, Line: 09, Word: 4",verb G,,,,,hwy,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הויין,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
"""ydyM"";","Masekhet: 71016, Page: 002, Side: 2, Line: 09, Word: 5",No data,,,,,,,,,,,,,ידים;,None,No data,
lspwqy,"Masekhet: 71016, Page: 002, Side: 2, Line: 10, Word: 0",p02,verb D,,,,l_,spq,,,part. pass. to be in doubt,to make something doubtful,,,לספוקי,spq,preposition with pronominal suffix | verb pael,part. pass. to be in doubt | to make something doubtful
bmylt',"Masekhet: 71016, Page: 002, Side: 2, Line: 11, Word: 0",p02,noun sg. emphatic,,,,b_,"mlh, mltˀ",,,"in, with","word, speech; thing",,,במילת',mylt),preposition with pronominal suffix | noun sg. emphatic,"in, with | word, speech; thing"
)xryty;,"Masekhet: 71016, Page: 002, Side: 2, Line: 11, Word: 1",R,,,,,ˀwḥrn,,,,other,,,,אחריתי;,)xryn),R,other
mylt',"Masekhet: 71016, Page: 002, Side: 2, Line: 21, Word: 0",noun sg. emphatic,,,,,"mlh, mltˀ",,,,"word, speech; thing",,,,מילת',mylt),noun sg. emphatic,"word, speech; thing"
(byd',"Masekhet: 71016, Page: 002, Side: 2, Line: 21, Word: 1",A02,,,,,"ˁbyd, ˁbydˀ",,,,creature,,,,עביד',(byd,adjective singular determined,creature
w)mry',"Masekhet: 71016, Page: 002, Side: 2, Line: 21, Word: 2",c,verb G,,,,w_,ˀmr,,,to say,to command,to think,idiomatic and special usages:,ואמרי',)mr,conjunction | verb peal,to say | to command | to think | idiomatic and special usages:
lyh,"Masekhet: 71016, Page: 002, Side: 2, Line: 21, Word: 3",p02,,,,,l_,,,,"to, for",,,,ליה,l_,preposition with pronominal suffix,"to, for"
"""n)h"";","Masekhet: 71016, Page: 002, Side: 2, Line: 21, Word: 4",No data,,,,,,,,,,,,,נאה;,None,No data,
h'm,"Masekhet: 71016, Page: 003, Side: 1, Line: 02, Word: 0",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,ה'מ,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
gby,"Masekhet: 71016, Page: 003, Side: 1, Line: 02, Word: 1",p,,,,,"gb, gby",,,,"at the side of, together with",,,,גבי,gby,preposition,"at the side of, together with"
"""nzyr","Masekhet: 71016, Page: 003, Side: 1, Line: 02, Word: 2",No data,,,,,,,,,,,,,נזיר,None,No data,
"Tm'"";","Masekhet: 71016, Page: 003, Side: 1, Line: 02, Word: 3",No data,,,,,,,,,,,,,טמ';,None,No data,
