text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,split_word_0,split_word_1,split_word_2,split_word_3,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
xd);,"Masekhet: 71034, Page: 002, Side: 2, Line: 40, Word: 1",n01,,,,,ḥd,,,,one,,,,חדא;,xd,numeral singular absolute or construct,one
(br,"Masekhet: 71034, Page: 002, Side: 2, Line: 40, Word: 2",verb G,,,,,ˁbr,,,,to cross over,"to go away, vanish",":  to violate, transgress",to be exchangeable,עבר,(br,verb peal,"to cross over | to go away, vanish | :  to violate, transgress | to be exchangeable"
kwlhw,"Masekhet: 71034, Page: 002, Side: 2, Line: 40, Word: 3",noun sg. emphatic,,,,,"kl, klˀ",,,,"all, every",,,,כולהו,kl,noun sg. emphatic,"all, every"
"""bhy(lM","Masekhet: 71034, Page: 002, Side: 2, Line: 40, Word: 4",No data,,,,,,,,,,,,,בהיעלם,None,No data,
")xt"";","Masekhet: 71034, Page: 002, Side: 2, Line: 40, Word: 5",No data,,,,,,,,,,,,,אחת;,None,No data,
l),"Masekhet: 71034, Page: 002, Side: 2, Line: 40, Word: 6",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
nyxyyb,"Masekhet: 71034, Page: 002, Side: 2, Line: 41, Word: 0",verb Dt,,,,,ḥwb,,,,"to be obligated, subject to liability",to incur guilt,to be conquered,,ניחייב,xwb,verb ethpaal,"to be obligated, subject to liability | to incur guilt | to be conquered"
)l),"Masekhet: 71034, Page: 002, Side: 2, Line: 41, Word: 1",c,,,,,ˀlˀ,,,,but rather,,,,אלא,)l),conjunction,but rather
xd);,"Masekhet: 71034, Page: 002, Side: 2, Line: 41, Word: 2",n01,,,,,ḥd,,,,one,,,,חדא;,xd,numeral singular absolute or construct,one
)ym';,"Masekhet: 71034, Page: 002, Side: 2, Line: 43, Word: 0",verb G,,,,,ˀmr,,,,to say,to command,to think,idiomatic and special usages:,אימ';,)mr,verb peal,to say | to command | to think | idiomatic and special usages:
""")xwtw""","Masekhet: 71034, Page: 002, Side: 2, Line: 43, Word: 1",No data,,,,,,,,,,,,,אחותו,None,No data,
dprT,"Masekhet: 71034, Page: 002, Side: 2, Line: 43, Word: 2",c,verb G,,,,dy,prṭ,,,to split apart,to dissipate,to change money,w. lips : to sneer,דפרט,prT,conjunction | verb peal,to split apart | to dissipate | to change money | w. lips : to sneer
qr),"Masekhet: 71034, Page: 002, Side: 2, Line: 43, Word: 3",noun sg. emphatic,,,,,"qry, qryˀ",,,,crying; reading,,,,קרא,qr),noun sg. emphatic,crying; reading
nxyyb,"Masekhet: 71034, Page: 002, Side: 2, Line: 43, Word: 4",verb Dt,,,,,ḥwb,,,,"to be obligated, subject to liability",to incur guilt,to be conquered,,נחייב,xwb,verb ethpaal,"to be obligated, subject to liability | to incur guilt | to be conquered"
xd),"Masekhet: 71034, Page: 002, Side: 2, Line: 43, Word: 5",n01,,,,,ḥd,,,,one,,,,חדא,xd,numeral singular absolute or construct,one
(lh,"Masekhet: 71034, Page: 002, Side: 2, Line: 43, Word: 6",p02,,,,,ˁl,,,,upon; against; to,,,,עלה,(l,preposition with pronominal suffix,upon; against; to
..;,"Masekhet: 71034, Page: 002, Side: 2, Line: 43, Word: 7",No data,,,,,,,,,,,,,;,None,No data,
l),"Masekhet: 71034, Page: 002, Side: 2, Line: 44, Word: 0",a,,,,,lˀ,,,,"no, not",,,,לא,l),adverb,"no, not"
nxyyb,"Masekhet: 71034, Page: 002, Side: 2, Line: 44, Word: 1",verb Dt,,,,,ḥwb,,,,"to be obligated, subject to liability",to incur guilt,to be conquered,,נחייב,xwb,verb ethpaal,"to be obligated, subject to liability | to incur guilt | to be conquered"
)l),"Masekhet: 71034, Page: 002, Side: 2, Line: 44, Word: 2",c,,,,,ˀlˀ,,,,but rather,,,,אלא,)l),conjunction,but rather
""")xt"";","Masekhet: 71034, Page: 002, Side: 2, Line: 44, Word: 3",No data,,,,,,,,,,,,,אחת;,None,No data,
wlrb,"Masekhet: 71034, Page: 002, Side: 2, Line: 44, Word: 4",No data,,,,,,,,,,,,,ולרב,None,No data,
byby,"Masekhet: 71034, Page: 002, Side: 2, Line: 45, Word: 0",No data,,,,,,,,,,,,,ביבי,None,No data,
br,"Masekhet: 71034, Page: 002, Side: 2, Line: 45, Word: 1",No data,,,,,,,,,,,,,בר,None,No data,
)byy,"Masekhet: 71034, Page: 002, Side: 2, Line: 45, Word: 2",No data,,,,,,,,,,,,,אביי,None,No data,
my,"Masekhet: 71034, Page: 002, Side: 2, Line: 45, Word: 3",c,,,,,my,,,,interrogative particle,,,,מי,my,conjunction,interrogative particle
lyt,"Masekhet: 71034, Page: 002, Side: 2, Line: 45, Word: 4",V,,,,,"lyt, l)yty",,,,there is/are not,,,,לית,lyt,V,there is/are not
lyh,"Masekhet: 71034, Page: 002, Side: 2, Line: 45, Word: 5",p,,,,,l_,,,,"to, for",,,,ליה,l_,preposition,"to, for"
hd),"Masekhet: 71034, Page: 002, Side: 2, Line: 45, Word: 6",P01,,,,,hdˀ,,,,this (f.),,,,הדא,hd),preposition independent,this (f.)
dtny);,"Masekhet: 71034, Page: 002, Side: 2, Line: 45, Word: 7",c,verb G,,,,dy,tny,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,דתניא;,tny,conjunction | verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]"
lxyylh,"Masekhet: 71034, Page: 002, Side: 2, Line: 53, Word: 0",verb D,,,,,ḥwl,,,,,,,,לחיילה,xwl,verb pael,
(l,"Masekhet: 71034, Page: 002, Side: 2, Line: 53, Word: 1",p01,,,,,ˁl,,,,upon; against; to,,,,על,(l,preposition independent,upon; against; to
kl,"Masekhet: 71034, Page: 002, Side: 2, Line: 53, Word: 2",noun sg. abs. or construct,,,,,"kl, klˀ",,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
""")$h","Masekhet: 71034, Page: 002, Side: 2, Line: 53, Word: 3",No data,,,,,,,,,,,,,אשה,None,No data,
"w)$h"";","Masekhet: 71034, Page: 002, Side: 2, Line: 53, Word: 4",No data,,,,,,,,,,,,,ואשה;,None,No data,
wr',"Masekhet: 71034, Page: 002, Side: 2, Line: 56, Word: 0",No data,,,,,,,,,,,,,ור',None,No data,
ycxq,"Masekhet: 71034, Page: 002, Side: 2, Line: 56, Word: 1",No data,,,,,,,,,,,,,יצחק,None,No data,
h),"Masekhet: 71034, Page: 002, Side: 2, Line: 56, Word: 2",P,,,,,hˀ,,,,this (f.),,,,הא,h),P,this (f.)
mylt),"Masekhet: 71034, Page: 002, Side: 2, Line: 56, Word: 3",noun sg. emphatic,,,,,"mlh, mltˀ",,,,"word, speech; thing",,,,מילתא,mylt),noun sg. emphatic,"word, speech; thing"
mn),"Masekhet: 71034, Page: 002, Side: 2, Line: 56, Word: 4",a,,,,,mnˀ,,,,whence,,,,מנא,mn),adverb,whence
lyh;,"Masekhet: 71034, Page: 002, Side: 2, Line: 56, Word: 5",p02,,,,,l_,,,,"to, for",,,,ליה;,l_,preposition with pronominal suffix,"to, for"
mN,"Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 0",p01,,,,,mn,,,,from,,,,מן,mn,preposition independent,from
""")xtw""","Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 1",No data,,,,,,,,,,,,,אחתו,None,No data,
dsyp),"Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 2",p,noun sg. emphatic,,,,dy,"syp, sypˀ",,,"of, genitive particle",end,,,דסיפא,syp),preposition | noun sg. emphatic,"of, genitive particle | end"
^d^qr);,"Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 3",p,noun sg. emphatic,,,,dy,"qry, qryˀ",,,"of, genitive particle",crying; reading,,,דקרא;,qr),preposition | noun sg. emphatic,"of, genitive particle | crying; reading"
dkt';,"Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 4",c,verb G,,,,dy,ktb,,,to write,to draw,,,דכת';,ktb,conjunction | verb peal,to write | to draw
"""(rwt","Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 5",No data,,,,,,,,,,,,,ערות,None,No data,
)xtw,"Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 6",No data,,,,,,,,,,,,,אחתו,None,No data,
"glh"";","Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 7",No data,,,,,,,,,,,,,גלה;,None,No data,
wrbn',"Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 8",c,N,,,,w_,"rbn, rbnˀ",,,"and, also","lord, master",,,ורבנ',rbnn,conjunction | noun,"and, also | lord, master"
""")xtw""","Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 9",No data,,,,,,,,,,,,,אחתו,None,No data,
dsyp),"Masekhet: 71034, Page: 002, Side: 2, Line: 57, Word: 10",p,noun sg. emphatic,,,,dy,"syp, sypˀ",,,"of, genitive particle",end,,,דסיפא,syp),preposition | noun sg. emphatic,"of, genitive particle | end"
