scroll_name,column,line,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
11QtgJob_Job_Scroll,20,06,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,3.6667,0.0,0.0
11QtgJob_Job_Scroll,20,07,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,20,08,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,3.3333,0.0,0.0
11QtgJob_Job_Scroll,20,09,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,21,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.1667,0.0,0.0
11QtgJob_Job_Scroll,21,02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.2,0.0,0.0
11QtgJob_Job_Scroll,21,03,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,6.0,4.1667,0.0,0.0
11QtgJob_Job_Scroll,21,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.5,0.0,0.0
11QtgJob_Job_Scroll,21,05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,21,06,0.0,0.0,0.0,0.2,0.4,0.2,0.0,5.0,4.2,0.0,0.0
11QtgJob_Job_Scroll,21,07,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,21,08,0.0,0.0,0.0,0.2,0.8,0.8,0.0,5.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,21,09,0.0,0.0,0.0,0.2,0.0,0.0,0.0,5.0,4.2,0.0,0.0
11QtgJob_Job_Scroll,22,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,22,02,0.0,0.0,0.0,0.2857,0.1429,0.0,0.0,7.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,22,03,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,7.0,3.5714,0.0,0.0
11QtgJob_Job_Scroll,22,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.7143,0.0,0.0
11QtgJob_Job_Scroll,22,05,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,7.0,3.8571,0.0,0.0
11QtgJob_Job_Scroll,22,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.7143,0.0,0.0
11QtgJob_Job_Scroll,22,07,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,6.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,22,08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.3333,0.0,0.0
11QtgJob_Job_Scroll,22,09,0.0,0.0,0.0,0.4,0.0,0.0,0.0,5.0,5.4,0.0,0.0
11QtgJob_Job_Scroll,22,10,0.0,0.0,0.0,0.2,0.4,0.0,0.0,5.0,4.4,0.0,0.0
11QtgJob_Job_Scroll,23,01,0.0,0.0,0.0,0.25,0.0,0.0,0.0,8.0,4.625,0.0,0.0
11QtgJob_Job_Scroll,23,02,0.0,0.0,0.0,0.2,0.2,0.0,0.0,5.0,4.6,0.0,0.0
11QtgJob_Job_Scroll,23,03,0.0,0.0,0.0,0.2857,0.2857,0.1429,0.0,7.0,5.2857,0.0,0.0
11QtgJob_Job_Scroll,23,04,0.0,0.0,0.0,0.6,0.4,0.4,0.0,5.0,5.2,0.0,0.0
11QtgJob_Job_Scroll,23,05,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,6.0,4.5,0.0,0.0
11QtgJob_Job_Scroll,23,06,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,6.0,0.0,0.0
11QtgJob_Job_Scroll,23,07,0.0,0.0,0.0,0.2,0.4,0.4,0.0,5.0,4.0,0.0,0.0
11QtgJob_Job_Scroll,23,08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,0.0,0.0
11QtgJob_Job_Scroll,23,09,0.0,0.0,0.0,0.0,0.2,0.0,0.0,5.0,4.2,0.0,0.0
11QtgJob_Job_Scroll,24,01,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,7.0,5.0,0.0,0.0
11QtgJob_Job_Scroll,24,02,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,7.0,3.5714,0.0,0.0
11QtgJob_Job_Scroll,24,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.2,0.0,0.0
11QtgJob_Job_Scroll,24,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5714,0.0,0.0
11QtgJob_Job_Scroll,24,05,0.0,0.0,0.0,0.125,0.0,0.0,0.0,8.0,3.75,0.0,0.0
11QtgJob_Job_Scroll,24,06,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,4.0,0.0,0.0
