masekhet,page,side,line,target,emphatic_ratio,absolute_ratio,function_words_ratio,lexical_diversity,verb_ratio,passive_voice_ratio,plural_ratio,line_length,avg_word_len,v_then_noun_ratio,v_then_prep_ratio
71005,004,2,16,Bavli,0.1667,0.0,0.3333,0.8333,1.0,0.0,0.0,6.0,4.3333,0.1667,0.0
71005,004,2,17,Bavli,0.0,0.0,0.8333,0.8333,0.3333,0.0,0.0,6.0,3.8333,0.0,0.5
71005,004,2,18,Bavli,0.125,0.0,0.25,0.625,0.75,0.0,0.0,8.0,4.0,0.0,0.1667
71005,004,2,44,Bavli,0.3333,0.0,0.5,0.6667,0.3333,0.0,0.0,6.0,5.0,0.5,0.0
71005,005,1,02,Bavli,0.25,0.0,0.5,1.0,0.0,0.0,0.0,4.0,3.75,0.0,0.0
71005,005,1,08,Bavli,0.3,0.2,0.0,0.7,0.2,0.0,0.0,10.0,3.6,0.0,0.0
71005,005,1,09,Bavli,0.2857,0.0,0.1429,0.7143,0.2857,0.0,1.0,7.0,4.0,0.5,0.0
71005,005,1,10,Bavli,0.2,0.0,0.2,0.4,0.8,0.0,1.0,5.0,5.0,0.25,0.0
71005,005,1,11,Bavli,0.5,0.0,0.5,0.5,1.0,0.0,1.0,2.0,5.5,0.5,0.0
71005,005,1,12,Bavli,0.0,0.125,0.125,0.5,0.5,0.0,0.0,8.0,4.0,0.0,0.0
71005,005,1,13,Bavli,0.0,0.0,0.6667,0.8333,0.6667,0.0,0.0,6.0,3.8333,0.0,0.0
71005,005,1,14,Bavli,0.0,0.0,0.0,0.5714,1.1429,0.0,0.0,7.0,4.1429,0.0,0.0
71005,005,2,12,Bavli,0.0,0.0,0.2222,0.4444,0.6667,0.0,0.0,9.0,4.3333,0.0,0.0
71005,005,2,16,Bavli,0.0,0.0,0.0,0.5,1.0,0.0,0.0,2.0,4.5,0.0,0.0
71005,005,2,17,Bavli,0.0,0.0,0.7143,0.5714,0.5714,0.0,0.0,7.0,4.7143,0.0,0.0
71005,005,2,19,Bavli,0.1111,0.0,0.8889,0.8889,0.2222,0.0,0.0,9.0,4.1111,0.0,0.0
71005,005,2,24,Bavli,0.0,0.1111,0.4444,0.7778,0.6667,0.0,0.0,9.0,4.3333,0.0,0.0
71005,005,2,25,Bavli,0.0,0.0,0.0,0.5,1.0,0.0,0.0,4.0,5.0,0.0,0.0
71005,005,2,32,Bavli,0.0,0.0,0.4,0.6,0.8,0.0,0.0,5.0,4.6,0.0,0.0
71005,005,2,38,Bavli,0.0,0.0,0.0,0.5,2.0,0.0,0.0,1.0,8.0,0.0,0.0
71005,005,2,39,Bavli,0.0,0.0,0.2,0.6,1.2,0.0,0.0,5.0,4.0,0.0,0.0
71005,005,2,40,Bavli,0.0,0.1429,0.2857,0.2857,0.0,0.0,0.5,7.0,3.8571,0.0,0.0
71005,005,2,41,Bavli,0.0,0.0,0.5,1.0,0.75,0.0,0.0,8.0,4.5,0.0,0.1667
71005,006,1,18,Bavli,0.0,0.0,0.3333,0.5,0.3333,0.0,0.0,6.0,3.8333,0.0,0.0
71005,006,1,21,Bavli,0.0,0.25,0.5833,0.5833,1.0,0.0,0.0,12.0,4.3333,0.0,0.0
71005,006,1,22,Bavli,0.0909,0.0,0.4545,0.7273,0.9091,0.0,0.0,11.0,5.2727,0.0,0.1
71005,006,1,23,Bavli,0.0,0.0,0.5,0.875,1.0,0.0,0.0,8.0,5.75,0.125,0.0
71005,006,1,24,Bavli,0.0833,0.0,0.4167,0.8333,0.8333,0.0,0.0,12.0,4.4167,0.1,0.1
71005,006,1,25,Bavli,0.0,0.0909,0.4545,0.8182,0.9091,0.0,0.0,11.0,4.5455,0.0,0.0
